country,year,tourism_arrivals,tourism_receipts,gdp,avg_temp,temp_5yr_smooth,iso_code,receipts_per_arrival,arrivals_prev,receipts_prev,rpa_prev,temp_prev,arrivals_growth,receipts_growth,rpa_growth,temp_change,trend_score,label_str
Albania,2000,317000.0,3.98E8,3.48035525804122E9,12.73,12.38,ALB,1255.5205047318611,371000.0,2.18E8,587.6010781671159,12.46,-0.14555256064690028,0.8256880733944955,1.1366885653922958,0.2699999999999996,0.3673438897687782,increasing
Albania,2001,354000.0,4.51E8,3.9221007935403E9,12.46,12.45,ALB,1274.0112994350281,317000.0,3.98E8,1255.5205047318611,12.73,0.1167192429022082,0.13316582914572864,0.014727592766090309,-0.2699999999999996,0.07592258284776104,increasing
Albania,2002,470000.0,4.92E8,4.34806824219512E9,12.54,12.46,ALB,1046.8085106382978,354000.0,4.51E8,1274.0112994350281,12.46,0.327683615819209,0.09090909090909091,-0.17833655705996132,0.0799999999999983,0.12527554666754087,increasing
Albania,2003,557000.0,5.37E8,5.61149625714231E9,12.41,12.41,ALB,964.0933572710951,470000.0,4.92E8,1046.8085106382978,12.54,0.1851063829787234,0.09146341463414634,-0.07901650829793752,-0.129999999999999,0.07945722646805903,increasing
Albania,2004,645000.0,7.56E8,7.18468578151876E9,12.1,12.34,ALB,1172.093023255814,557000.0,5.37E8,964.0933572710951,12.41,0.15798922800718132,0.40782122905027934,0.2157463946992335,-0.3100000000000005,0.1810920946840022,increasing
Albania,2005,748000.0,8.8E8,8.05207724814638E9,11.66,12.28,ALB,1176.4705882352941,645000.0,7.56E8,1172.093023255814,12.1,0.15968992248062017,0.164021164021164,0.00373482726423907,-0.4399999999999995,0.09730788439406773,increasing
Albania,2006,937000.0,1.057E9,8.89607500463516E9,12.08,12.25,ALB,1128.068303094984,748000.0,8.8E8,1176.4705882352941,11.66,0.25267379679144386,0.20113636363636364,-0.04114194236926362,0.41999999999999993,0.13514750112716087,increasing
Albania,2007,1127000.0,1.479E9,1.06773248528822E10,12.74,12.29,ALB,1312.3336291038154,937000.0,1.057E9,1128.068303094984,12.08,0.20277481323372465,0.39924314096499525,0.16334589448464995,0.6600000000000001,0.18700324573409477,increasing
Albania,2008,1420000.0,1.85E9,1.28813528936855E10,12.84,12.38,ALB,1302.8169014084508,1127000.0,1.479E9,1312.3336291038154,12.74,0.25998225377107365,0.2508451656524679,-0.007251759373006005,0.09999999999999964,0.15308864851344178,increasing
Albania,2009,1856000.0,2.013E9,1.20442055496571E10,12.69,12.5,ALB,1084.5905172413793,1420000.0,1.85E9,1302.8169014084508,12.84,0.30704225352112674,0.08810810810810811,-0.1675034948741846,-0.15000000000000036,0.1172239541630022,increasing
Albania,2010,2417000.0,1.778E9,1.19269266158015E10,12.6,12.63,ALB,735.6226727347952,1856000.0,2.013E9,1084.5905172413793,12.69,0.30226293103448276,-0.11674118231495281,-0.3217507796344859,-0.08999999999999986,0.052657446766895294,increasing
Albania,2011,2932000.0,1.833E9,1.2890760315146E10,12.39,12.76,ALB,625.1705320600273,2417000.0,1.778E9,735.6226727347952,12.6,0.21307405875051716,0.03093363329583802,-0.1501478200286355,-0.20999999999999908,0.06778530723885608,increasing
Albania,2012,3514000.0,1.623E9,1.2319834195331E10,12.89,12.85,ALB,461.8668184405236,2932000.0,1.833E9,625.1705320600273,12.39,0.1984993178717599,-0.11456628477905073,-0.2612146690302154,0.5,0.014613723110969756,stable
Albania,2013,3256000.0,1.67E9,1.27762244969718E10,12.9,12.91,ALB,512.8992628992629,3514000.0,1.623E9,461.8668184405236,12.89,-0.07342060330108138,0.02895871842267406,0.11049168812569925,0.009999999999999787,1.4431326963087326E-4,stable
Albania,2014,3673000.0,1.849E9,1.32281475161168E10,12.93,12.94,ALB,503.4032126327253,3256000.0,1.67E9,512.8992628992629,12.9,0.12807125307125308,0.10718562874251497,-0.018514454890926048,0.02999999999999936,0.06943696988638143,increasing
Albania,2015,4131000.0,1.613E9,1.13868531130189E10,12.87,12.96,ALB,390.4623577826192,3673000.0,1.849E9,503.4032126327253,12.93,0.12469371086305472,-0.1276365603028664,-0.22435465649780398,-0.0600000000000005,-0.01492563608128876,stable
Albania,2016,4736000.0,1.821E9,1.18611998308396E10,12.9,12.97,ALB,384.50168918918916,4131000.0,1.613E9,390.4623577826192,12.87,0.14645364318566934,0.12895226286422815,-0.015265667674804443,0.030000000000001137,0.08176591884147982,increasing
Albania,2017,5118000.0,2.05E9,1.30197262117369E10,12.75,12.99,ALB,400.547088706526,4736000.0,1.821E9,384.50168918918916,12.9,0.08065878378378379,0.1257550796265788,0.0417303745821566,-0.15000000000000036,0.06508742010313291,increasing
Albania,2018,5927000.0,2.306E9,1.53795098917196E10,13.43,13.03,ALB,389.06698160958325,5118000.0,2.05E9,400.547088706526,12.75,0.1580695584212583,0.1248780487804878,-0.02866106737665995,0.6799999999999997,0.083377308102091,increasing
Albania,2019,6406000.0,2.458E9,1.55851051310644E10,13.33,13.07,ALB,383.7027786450203,5927000.0,2.306E9,389.06698160958325,13.43,0.08081660199088915,0.06591500433651344,-0.013787350811346279,-0.09999999999999964,0.04297502086999498,stable
Albania,2020,2658000.0,1.243E9,1.52414587448688E10,13.07,13.12,ALB,467.6448457486832,6406000.0,2.458E9,383.7027786450203,13.33,-0.5850764907898844,-0.49430431244914563,0.21876846292354132,-0.2599999999999998,-0.2635385093045141,decreasing
Algeria,2006,1638000.0,3.93E8,1.2308425869301E11,23.74,23.61,DZA,239.9267399267399,1443000.0,4.77E8,330.5613305613306,23.58,0.13513513513513514,-0.1761006289308176,-0.2741838873914346,0.16000000000000014,-0.02859247387549277,stable
Algeria,2007,1743000.0,3.34E8,1.42482739809849E11,23.58,23.63,DZA,191.62363740676994,1638000.0,3.93E8,239.9267399267399,23.74,0.0641025641025641,-0.15012722646310434,-0.20132438149544737,-0.16000000000000014,-0.042068214136640504,stable
